graph_id,users,types,graph_sampler,following_per_user,engagement,prop_engagement
608cb0fe-39a3-45ea-8a62-f80c19c1990a,15,3,scaled_gnp,2,14.350557319105137,0.6698253513548823
95f2b9f5-2797-440f-9992-868be9c32b95,15,3,preferential_attachment,2,11.493752025625076,0.6264372348765125
c84aab7e-3a9d-4811-988e-772934378a8a,15,3,scaled_gnp,5,15.701362383534876,0.6446895040978243
175c6235-ceb0-46b1-aca6-d3a53d03c0b6,15,3,preferential_attachment,5,12.750054717921927,0.6505395824653806
8fa6e3d6-812a-4dae-abcf-1c63642c0c55,15,3,scaled_gnp,10,14.765622968331684,0.6270674070070645
87cb4365-d7b2-49c0-9e49-a5022aed61f1,15,3,preferential_attachment,10,12.026880785748409,0.6944574991183475
ed4e35c0-7cb5-4822-ad1c-0c0125ca75bb,15,5,scaled_gnp,2,23.760656694770624,0.4168627726946292
488f03e5-2f32-4b2b-8403-9603e75402ae,15,5,preferential_attachment,2,9.685370894485237,0.5793111288014372
7526de9c-55cb-4a5c-9771-427823e19bbd,15,5,scaled_gnp,5,15.691395541587742,0.5893718811037836
14cdeea3-fb00-41d0-ba87-dbbb75f16633,15,5,preferential_attachment,5,11.611493619105774,0.6136076657449164
201ae720-50ad-466d-8a9d-ac3101820105,15,5,scaled_gnp,10,17.080524389729725,0.5689946453680419
d315f1a0-132b-4778-af34-33c572bf2004,15,5,preferential_attachment,10,10.540357735243001,0.5604087418363186
957ec27a-7e51-4943-b0a1-6b580ef18e64,30,3,scaled_gnp,2,30.1244359783426,0.6612978107074307
3ef2351f-67e0-4e19-b0c2-b0ed1cba5372,30,3,preferential_attachment,2,21.12118102877712,0.6868890599594907
de52c934-5481-4003-a37f-46115aa1162d,30,3,scaled_gnp,5,41.380417126774034,0.6624132789387112
cb8de9b8-00e8-468c-9c64-9c75c6b482db,30,3,preferential_attachment,5,24.14527141373193,0.6624601447390659
cc1282a8-efd8-4427-9805-437366a4f5cc,30,3,scaled_gnp,10,36.093327866812366,0.6867864029762638
5d09dc0b-d1bd-4aa5-b4c2-a582eae4c44a,30,3,preferential_attachment,10,23.945570247920813,0.6362963175635363
5f5b8382-19a2-4d4a-b88d-19b56ff460bb,30,5,scaled_gnp,2,26.375447556398022,0.5838503094031866
